2014.05.15,00:00,1.37136,1.37316,1.36480,1.37099,60460
2014.05.16,00:00,1.37098,1.37263,1.36848,1.36976,38265
2014.05.18,00:00,1.36922,1.37011,1.36922,1.36971,209
2014.05.19,00:00,1.36970,1.37338,1.36948,1.37085,40947
2014.05.20,00:00,1.37085,1.37132,1.36776,1.36987,39203
2014.05.21,00:00,1.36991,1.37227,1.36340,1.36855,45986
2014.05.22,00:00,1.36852,1.36872,1.36447,1.36557,41941
2014.05.23,00:00,1.36556,1.36560,1.36152,1.36291,36234
2014.05.25,00:00,1.36226,1.36421,1.36145,1.36240,546
2014.05.26,00:00,1.36241,1.36540,1.36150,1.36440,23301
2014.05.27,00:00,1.36441,1.36682,1.36122,1.36337,39456
2014.05.28,00:00,1.36335,1.36374,1.35880,1.35922,42102
2014.05.29,00:00,1.35922,1.36251,1.35858,1.36018,39044
2014.05.30,00:00,1.36019,1.36495,1.35981,1.36306,38701
2014.06.01,00:00,1.36367,1.36368,1.36304,1.36317,256
2014.06.02,00:00,1.36319,1.36356,1.35876,1.35979,42323
2014.06.03,00:00,1.35976,1.36474,1.35869,1.36267,42191
2014.06.04,00:00,1.36265,1.36386,1.35962,1.35998,47829
2014.06.05,00:00,1.35998,1.36692,1.35023,1.36624,70470
2014.06.06,00:00,1.36623,1.36763,1.36205,1.36438,50371
2014.06.08,00:00,1.36428,1.36455,1.36420,1.36450,224
2014.06.09,00:00,1.36451,1.36684,1.35820,1.35920,47575
2014.06.10,00:00,1.35921,1.36014,1.35332,1.35442,62201
2014.06.11,00:00,1.35441,1.35565,1.35211,1.35333,59441
2014.06.12,00:00,1.35333,1.35714,1.35119,1.35484,70745
2014.06.13,00:00,1.35484,1.35786,1.35206,1.35385,60134
2014.06.15,00:00,1.35409,1.35416,1.35356,1.35375,699
2014.06.16,00:00,1.35364,1.35789,1.35126,1.35717,50748
2014.06.17,00:00,1.35719,1.35865,1.35358,1.35458,49342
2014.06.18,00:00,1.35459,1.35989,1.35411,1.35872,62164
2014.06.19,00:00,1.35872,1.36429,1.35836,1.36058,58810
2014.06.20,00:00,1.36060,1.36333,1.35638,1.35968,45192
2014.06.22,00:00,1.35890,1.35956,1.35890,1.35928,567
2014.06.23,00:00,1.35930,1.36130,1.35737,1.36031,42237
2014.06.24,00:00,1.36032,1.36272,1.35829,1.36020,53423
2014.06.25,00:00,1.36020,1.36509,1.36000,1.36300,40528
2014.06.26,00:00,1.36298,1.36408,1.35753,1.36116,45987
2014.06.27,00:00,1.36116,1.36486,1.36096,1.36468,24735
2014.06.29,00:00,1.36434,1.36469,1.36430,1.36449,188
2014.06.30,00:00,1.36448,1.36971,1.36399,1.36926,49783
2014.07.01,00:00,1.36924,1.36998,1.36750,1.36789,44685
2014.07.02,00:00,1.36788,1.36819,1.36408,1.36565,49382
2014.07.03,00:00,1.36564,1.36641,1.35957,1.36084,61461
2014.07.04,00:00,1.36085,1.36106,1.35850,1.35930,31058
2014.07.06,00:00,1.35939,1.35960,1.35924,1.35931,224
2014.07.07,00:00,1.35930,1.36087,1.35756,1.36052,39322
2014.07.08,00:00,1.36054,1.36169,1.35876,1.36112,39532
2014.07.09,00:00,1.36113,1.36481,1.36018,1.36400,53844
2014.07.10,00:00,1.36398,1.36503,1.35887,1.36061,53410
2014.07.11,00:00,1.36063,1.36244,1.35913,1.36075,43591
2014.07.13,00:00,1.35990,1.36070,1.35990,1.36049,379
2014.07.14,00:00,1.36050,1.36397,1.35971,1.36202,38734
2014.07.15,00:00,1.36204,1.36275,1.35616,1.35677,63954
